Name,HOMO,LUMO,Wave
AP11,-6.351261245466186,-3.8812338744372394,427.6574140592214
AP14,-6.171876126975166,-3.7036697418249753,431.21973596344577
AP16,-6.074743761412302,-3.787974093927871,405.4464389390225
AP17,-6.120598773681212,-3.7815051314398493,396.17390473427986
AP25,-5.296385807741295,-3.782140070207428,601.0525267263707
AP3,-5.107913950368032,-3.2612239490354207,613.7726112635428
C218,-5.456033987332564,-3.390870287971093,505.5099065207036
JD21,-5.929301324707946,-3.6033111113583844,561.6217074716182
JW1,-5.169185054888957,-3.271455790183004,580.3002884891091
ND1,-5.311722845825915,-3.757504748235549,607.774743352122
ND2,-5.557224270536977,-3.710990460188034,580.2201228802985
ND3,-5.3843003474604645,-3.782848837345577,619.6982150334197
NL11,-5.340491973869586,-3.5347025486698165,571.1074381982224
NL12,-5.283034037627348,-3.538099828232867,568.9023381516341
NL13,-5.381235062002857,-3.5509463534347825,577.6944158376764
NL2,-5.350052552381289,-3.6813188392650975,616.0981113587063
NL4,-5.293216715595578,-3.6825193647868737,639.9264671169022
NL5,-5.392571263539665,-3.6871588478847683,608.4825244488997
NL7,-5.336630310929966,-3.2924742146818238,557.4759675786427
NL6,-5.578557768639455,-4.233066146188069,540.1094363253496
ZL003,-5.473715197732626,-3.557872123146379,539.031235445871
XY1,-5.334065634780734,-3.6513311493596468,544.2860455587689
R6,-5.109797169908797,-3.7165699148384155,619.9125675221923
