,HOMO Ranks, HOMO Values,LUMO Ranks,LUMO Values,Wavelength Ranks,Wavelength Values
0,3ed_15b_3ea,-6.337396234486295,5ed_11b_7ea,-1.6491210106083145,5ed_32b_7ea,599.9677094617745
1,3ed_12b_4ea,-6.237159937312621,6ed_10b_7ea,-1.6895891258321805,9ed_8b_8ea,599.4136470542659
2,3ed_7b_8ea,-6.210440479088462,9ed_12b_7ea,-1.7194065362945554,5ed_1b_8ea,598.2325374334418
3,3ed_22b_8ea,-6.185971741991002,6ed_6b_7ea,-1.7285554171527635,3ed_1b_1ea,598.1672067466495
4,3ed_15b_1ea,-6.1854814881819955,10ed_10b_7ea,-1.7380814836118117,5ed_1b_1ea,597.4529373596255
5,3ed_15b_2ea,-6.183770525905729,7ed_6b_7ea,-1.7668043472804822,7ed_1b_7ea,596.9249529903859
6,3ed_21b_8ea,-6.183616958878979,10ed_6b_7ea,-1.810310127870117,11ed_20b_6ea,596.5945978760833
7,7ed_15b_3ea,-6.177603836589938,2ed_10b_7ea,-1.8259006805101592,11ed_20b_11ea,595.9180598547504
8,3ed_17b_8ea,-6.166127454667231,5ed_10b_7ea,-1.8363035430546042,2ed_1b_1ea,595.8319318916239
9,2ed_15b_3ea,-6.16444553812808,1ed_11b_7ea,-1.850939545188216,6ed_1b_6ea,595.7429098665366
10,3ed_4b_3ea,-6.146690321860306,2ed_6b_7ea,-1.87177236933623,9ed_9b_8ea,595.6108115577962
11,2ed_22b_8ea,-6.116486299095763,5ed_6b_7ea,-1.8999451588054976,5ed_26b_8ea,593.9082032547246
12,2ed_36b_8ea,-6.097361100550382,1ed_10b_7ea,-1.9350689498437847,10ed_20b_5ea,593.8742989312644
13,3ed_14b_8ea,-6.096010818891017,7ed_11b_6ea,-1.9416108071015257,3ed_20b_5ea,593.789845696269
14,3ed_13b_8ea,-6.058180711263524,7ed_2b_7ea,-1.9445725852479605,3ed_1b_9ea,593.59775113259
15,3ed_7b_3ea,-6.0574626328656285,6ed_2b_7ea,-1.9583007661865872,10ed_1b_9ea,593.3728231889074
