Name,"CAM-B3LYP/6-311G(d,p)_dichloromethane","HOMO CAM-B3LYP/6-311G(d,p)_dichloromethane","LUMO CAM-B3LYP/6-311G(d,p)_dichloromethane","bhandhlyp/6-311G(d,p)_dichloromethane","HOMO bhandhlyp/6-311G(d,p)_dichloromethane","LUMO bhandhlyp/6-311G(d,p)_dichloromethane","PBE1PBE/6-311G(d,p)_dichloromethane","HOMO PBE1PBE/6-311G(d,p)_dichloromethane","LUMO PBE1PBE/6-311G(d,p)_dichloromethane",Exp
NL5,2.143,-6.234,-2.246,2.131,-5.886,-2.35,1.817,-5.339,-3.112,1.845
ND3,2.048,-6.114,-2.344,2.02,-5.768,-2.444,1.713,-5.219,-3.168,1.856
AP25,2.167,-6.118,-2.266,2.128,-5.781,-2.37,1.746,-5.195,-3.114,1.879
NL4,2.017,-6.149,-2.358,2.001,-5.824,-2.464,1.664,-5.249,-3.193,1.887
NL3,2.088,-6.159,-2.29,2.076,-5.835,-2.394,1.73,-5.258,-3.142,1.905
AP3,2.143,-5.947,-1.872,2.115,-5.601,-1.982,1.665,-5.007,-2.797,1.908
ND1,2.074,-6.147,-2.355,2.047,-5.803,-2.458,1.72,-5.244,-3.188,1.919
ND2,2.249,-6.351,-2.24,2.218,-5.983,-2.346,1.965,-5.466,-3.101,1.934
R6,2.086,-6.052,-2.24,2.033,-5.662,-2.336,1.646,-5.19,-3.131,1.965
S3,2.208,-6.101,-2.333,2.162,-5.759,-2.416,1.624,-5.183,-3.215,1.975
NL8,2.25,-6.265,-2.172,2.245,-5.941,-2.27,1.809,-5.329,-3.066,1.975
FNE34,2.201,-6.246,-2.224,2.164,-5.88,-2.328,1.804,-5.348,-3.114,1.984
NL2,2.107,-6.16,-2.259,2.096,-5.836,-2.364,1.745,-5.256,-3.115,1.997
R4,2.21,-6.12,-2.12,2.168,-5.715,-2.23,1.774,-5.213,-3.05,2.023
NL6,2.175,-6.187,-2.223,2.156,-5.856,-2.32,1.733,-5.271,-3.115,2.05
FNE32,1.949,-6.203,-2.427,1.928,-5.842,-2.533,1.673,-5.338,-3.266,2.081
JW1,2.216,-6.111,-2.137,2.193,-5.781,-2.235,1.751,-5.175,-3.014,2.102
NL13,2.267,-6.173,-2.098,2.249,-5.827,-2.189,1.872,-5.277,-2.998,2.102
NL7,2.353,-6.192,-1.959,2.339,-5.859,-2.059,1.904,-5.244,-2.857,2.105
JD21,2.335,-6.829,-2.063,2.316,-6.475,-2.171,1.873,-5.708,-3.053,2.131
TP1,2.264,-6.15,-1.903,2.234,-5.779,-2.007,1.811,-5.215,-2.841,2.134
NL11,2.279,-6.173,-2.124,2.26,-5.843,-2.217,1.825,-5.252,-3.023,2.175
D1,2.25,-6.291,-2.521,2.191,-5.978,-2.634,1.621,-5.343,-3.391,2.175
TH304,2.424,-6.291,-2.191,2.428,-5.978,-2.252,1.864,-5.325,-3.093,2.183
NL12,2.302,-6.2,-2.138,2.277,-5.858,-2.232,1.835,-5.288,-3.045,2.195
D3,2.225,-6.166,-2.554,2.132,-5.826,-2.668,1.501,-5.201,-3.426,2.206
WS-55,2.265,-6.281,-2.253,2.204,-5.943,-2.381,1.8,-5.347,-3.136,2.222
IQ21,2.446,-6.254,-2.073,2.409,-5.908,-2.174,1.939,-5.292,-2.972,2.226
NKX-2883,2.372,-6.471,-2.201,2.37,-6.155,-2.307,2.03,-5.568,-3.115,2.246
XY1,2.327,-6.19,-2.087,2.249,-5.821,-2.198,1.833,-5.263,-3.021,2.246
C218,2.51,-6.224,-1.97,2.486,-5.902,-2.07,2.037,-5.269,-2.864,2.255
YZ15,2.282,-6.043,-2.134,2.206,-5.661,-2.244,1.817,-5.212,-3.023,2.259
WS-6,2.348,-6.337,-2.271,2.301,-6.011,-2.388,1.809,-5.387,-3.164,2.267
DQ5,2.334,-6.251,-2.174,2.279,-5.911,-2.293,1.83,-5.305,-3.059,2.267
IQ6,2.558,-6.242,-2.148,2.5,-5.898,-2.247,1.844,-5.268,-3.064,2.284
YZ12,2.298,-6.108,-2.143,2.228,-5.73,-2.255,1.846,-5.264,-3.032,2.284
HKK-BTZ4,2.256,-6.228,-2.415,2.183,-5.903,-2.537,1.63,-5.271,-3.3,2.296
SGT-136,2.354,-6.06,-2.187,2.263,-5.712,-2.3,1.684,-5.135,-3.112,2.335
IQ4,2.724,-6.35,-2.06,2.674,-6.018,-2.162,1.961,-5.363,-3.009,2.344
FNE52,2.437,-6.274,-2.208,2.378,-5.955,-2.324,1.81,-5.301,-3.109,2.357
ZL003,2.463,-6.364,-2.046,2.408,-5.996,-2.169,2.024,-5.431,-2.96,2.389
TTAR-9,2.725,-6.446,-2.045,2.662,-6.089,-2.157,2.155,-5.478,-2.988,2.389
BTD-1,2.483,-6.176,-2.2,2.393,-5.837,-2.314,1.756,-5.203,-3.136,2.408
SGT-130,2.513,-6.225,-2.209,2.428,-5.884,-2.323,1.792,-5.277,-3.147,2.41
C272,2.515,-6.209,-2.008,2.436,-5.816,-2.122,1.998,-5.373,-2.934,2.422
C271,2.661,-6.541,-1.893,2.653,-6.16,-1.976,2.361,-5.685,-2.832,2.441
Y123,2.512,-6.261,-1.964,2.489,-5.924,-2.062,2.086,-5.324,-2.861,2.451
TPA-TTAR-A,2.837,-6.533,-1.963,2.802,-6.191,-2.07,2.288,-5.547,-2.899,2.49
TTAR-15,2.615,-6.443,-2.091,2.563,-6.085,-2.204,2.133,-5.481,-3.009,2.49
TTAR-B8,2.611,-6.458,-2.096,2.564,-6.1,-2.201,2.13,-5.489,-3.011,2.557
SGT-121,2.56,-6.28,-2.125,2.505,-5.947,-2.239,1.939,-5.334,-3.046,2.635
C258,2.393,-6.041,-1.935,2.309,-5.676,-2.054,1.855,-5.096,-2.85,2.707
S-DAHTDTT,2.647,-6.354,-2.092,2.57,-5.988,-2.208,2.046,-5.391,-3.024,2.812
D-DAHTDTT,2.493,-6.213,-2.122,2.413,-5.841,-2.236,1.917,-5.275,-3.037,2.825
T-DAHTDTT,2.651,-6.384,-2.094,2.583,-6.03,-2.208,2.08,-5.425,-3.022,2.857
