Name,"CAM-B3LYP/6-311G(d,p)","HOMO CAM-B3LYP/6-311G(d,p)","LUMO CAM-B3LYP/6-311G(d,p)","bhandhlyp/6-311G(d,p)","HOMO bhandhlyp/6-311G(d,p)","LUMO bhandhlyp/6-311G(d,p)","PBE1PBE/6-311G(d,p)","HOMO PBE1PBE/6-311G(d,p)","LUMO PBE1PBE/6-311G(d,p)",LSF
14ed_9b_3ea,0.603,-6.057,-3.131,0.644,-5.653,-3.237,0.463,-5.184,-3.983,0.56563343322
16ed_9b_11ea,0.913,-5.346,-2.341,1.007,-5.003,-2.438,0.758,-4.524,-3.214,0.83597280327
9ed_38b_13ea,1.102,-5.911,-3.534,1.055,-5.551,-3.651,0.979,-5.133,-4.059,0.9860235608100001
11ed_38b_13ea,1.115,-6.007,-3.606,1.065,-5.647,-3.73,0.982,-5.224,-4.137,1.00072408113
16ed_38b_13ea,1.143,-5.909,-3.392,1.104,-5.575,-3.536,1.013,-5.181,-3.999,1.0235786617200002
6ed_38b_13ea,1.146,-5.819,-3.315,1.106,-5.497,-3.468,1.01,-5.088,-3.914,1.028296443
13ed_38b_13ea,1.148,-6.061,-3.589,1.097,-5.699,-3.718,1.012,-5.292,-4.152,1.03000583088
5ed_38b_13ea,1.15,-5.987,-3.508,1.107,-5.647,-3.645,1.015,-5.207,-4.063,1.03135626885
20ed_38b_13ea,1.171,-5.987,-3.475,1.13,-5.643,-3.615,1.054,-5.238,-4.056,1.0428437432100002
2ed_38b_13ea,1.168,-5.949,-3.411,1.129,-5.616,-3.558,1.042,-5.223,-4.024,1.04351021058
9ed_36b_13ea,1.201,-5.989,-3.477,1.172,-5.643,-3.586,1.114,-5.221,-4.009,1.05771606411
11ed_36b_13ea,1.201,-6.088,-3.576,1.17,-5.742,-3.689,1.109,-5.308,-4.101,1.0595108136600002
7ed_38b_13ea,1.185,-5.95,-3.407,1.142,-5.622,-3.561,1.044,-5.218,-4.019,1.06342425621
1ed_38b_13ea,1.188,-6.104,-3.557,1.139,-5.749,-3.694,1.051,-5.335,-4.141,1.06455253839
11ed_18b_11ea,1.161,-6.167,-3.33,1.125,-5.802,-3.463,0.935,-5.282,-4.046,1.0734223440000001
9ed_38b_12ea,1.191,-5.886,-3.304,1.135,-5.516,-3.418,1.027,-5.081,-3.89,1.0768082677800002
3ed_38b_13ea,1.205,-6.047,-3.472,1.159,-5.707,-3.622,1.068,-5.313,-4.093,1.07908233537
6ed_38b_12ea,1.206,-5.801,-3.095,1.168,-5.466,-3.24,1.068,-5.034,-3.74,1.08029597922
11ed_38b_12ea,1.195,-5.969,-3.38,1.136,-5.597,-3.501,1.019,-5.159,-3.969,1.08453444246
7ed_4b_7ea,1.253,-6.277,-2.494,1.221,-5.95,-2.669,1.175,-5.269,-3.373,1.0989295997999997
16ed_38b_12ea,1.225,-5.937,-3.179,1.184,-5.585,-3.315,1.08,-5.163,-3.838,1.0990478134500001
17ed_38b_13ea,1.232,-6.239,-3.614,1.177,-5.874,-3.756,1.094,-5.482,-4.229,1.10251802166
10ed_4b_5ea,1.237,-6.276,-2.81,1.22,-5.941,-2.962,1.106,-5.301,-3.622,1.1042788419900003
2ed_38b_12ea,1.236,-5.947,-3.198,1.194,-5.598,-3.337,1.096,-5.181,-3.857,1.10665469724
19ed_38b_13ea,1.247,-6.268,-3.615,1.197,-5.913,-3.764,1.126,-5.526,-4.243,1.1092362822900004
6ed_38b_5ea,1.243,-5.64,-2.834,1.202,-5.281,-2.967,1.112,-4.834,-3.48,1.10940700563
6ed_38b_4ea,1.248,-5.825,-3.022,1.214,-5.49,-3.17,1.127,-5.056,-3.689,1.11009097623
13ed_38b_12ea,1.231,-6.057,-3.379,1.174,-5.686,-3.506,1.06,-5.258,-4.0,1.1135086747500003
16ed_38b_4ea,1.256,-5.949,-3.122,1.217,-5.598,-3.261,1.125,-5.179,-3.799,1.12051802685
9ed_28b_13ea,1.263,-5.909,-3.284,1.219,-5.549,-3.412,1.148,-5.11,-3.862,1.1207576858699997
13ed_36b_13ea,1.265,-6.213,-3.574,1.229,-5.866,-3.698,1.152,-5.432,-4.143,1.1217491739299998
9ed_38b_5ea,1.24,-5.732,-3.053,1.179,-5.341,-3.162,1.067,-4.906,-3.657,1.12191882003
10ed_38b_12ea,1.251,-5.956,-3.22,1.202,-5.597,-3.351,1.1,-5.159,-3.849,1.1234235553499996
6ed_38b_1ea,1.267,-5.806,-2.951,1.233,-5.465,-3.094,1.153,-5.035,-3.631,1.1238175117199998
6ed_38b_10ea,1.268,-5.711,-2.856,1.232,-5.362,-2.993,1.14,-4.905,-3.508,1.1296975044
9ed_38b_1ea,1.252,-5.861,-3.174,1.195,-5.488,-3.29,1.083,-5.059,-3.798,1.1307393476699998
6ed_38b_7ea,1.27,-5.594,-2.706,1.228,-5.225,-2.833,1.142,-4.771,-3.359,1.1314068922799998
11ed_38b_4ea,1.247,-5.987,-3.315,1.187,-5.615,-3.44,1.064,-5.174,-3.93,1.1314911767100002
5ed_38b_12ea,1.248,-5.98,-3.269,1.196,-5.629,-3.401,1.066,-5.161,-3.887,1.1319869207400002
11ed_4b_2ea,1.281,-6.222,-2.948,1.264,-5.86,-3.083,1.177,-5.298,-3.723,1.1321937277799998
16ed_38b_5ea,1.266,-5.787,-2.945,1.22,-5.413,-3.069,1.124,-4.98,-3.603,1.1330134152599998
7ed_38b_12ea,1.263,-5.952,-3.169,1.219,-5.608,-3.314,1.113,-5.176,-3.832,1.1333209327199998
3ed_38b_12ea,1.264,-6.019,-3.245,1.219,-5.668,-3.387,1.115,-5.252,-3.913,1.13381667675
6ed_44b_13ea,1.249,-5.942,-3.23,1.189,-5.596,-3.375,1.056,-5.144,-3.882,1.1367900636900001
9ed_16b_13ea,1.301,-5.94,-3.299,1.272,-5.587,-3.415,1.227,-5.159,-3.851,1.1385191092799998
9ed_38b_9ea,1.259,-5.797,-3.095,1.2,-5.413,-3.203,1.082,-4.972,-3.703,1.1395938045299998
16ed_38b_1ea,1.28,-5.931,-3.044,1.241,-5.573,-3.179,1.153,-5.157,-3.734,1.13959488177
11ed_16b_13ea,1.301,-6.052,-3.403,1.27,-5.7,-3.524,1.224,-5.263,-3.951,1.1395959590099998
6ed_38b_11ea,1.281,-5.723,-2.849,1.247,-5.379,-2.989,1.155,-4.923,-3.509,1.1400906257999999
9ed_38b_10ea,1.259,-5.788,-3.082,1.199,-5.406,-3.194,1.08,-4.96,-3.689,1.1403117043499997
6ed_38b_6ea,1.284,-5.748,-2.853,1.248,-5.394,-2.988,1.164,-4.936,-3.51,1.14050100816
9ed_38b_11ea,1.262,-5.812,-3.107,1.204,-5.436,-3.222,1.086,-4.987,-3.715,1.1417989364399999
6ed_38b_2ea,1.288,-5.779,-2.888,1.255,-5.431,-3.026,1.173,-4.978,-3.55,1.1421250343699998
16ed_28b_13ea,1.303,-5.94,-3.195,1.276,-5.598,-3.337,1.222,-5.175,-3.825,1.14274114653
7ed_44b_13ea,1.269,-5.993,-3.229,1.211,-5.636,-3.374,1.102,-5.214,-3.898,1.1445512448299997
11ed_38b_5ea,1.262,-5.84,-3.124,1.197,-5.446,-3.238,1.075,-5.006,-3.736,1.14574738545
2ed_38b_5ea,1.283,-5.812,-2.948,1.238,-5.438,-3.075,1.146,-5.009,-3.613,1.1457484626899999
7ed_38b_9ea,1.28,-5.776,-2.931,1.236,-5.418,-3.065,1.131,-4.972,-3.595,1.14749177979
16ed_38b_10ea,1.283,-5.859,-2.973,1.241,-5.494,-3.102,1.14,-5.052,-3.638,1.1479021621499998
7ed_38b_4ea,1.291,-5.959,-3.106,1.253,-5.616,-3.253,1.161,-5.188,-3.788,1.15007336484
16ed_38b_9ea,1.287,-5.862,-2.98,1.245,-5.493,-3.104,1.147,-5.058,-3.646,1.1502440881799998
10ed_38b_4ea,1.287,-5.964,-3.158,1.241,-5.607,-3.292,1.146,-5.171,-3.807,1.1506030380899999
6ed_38b_3ea,1.303,-5.875,-2.972,1.271,-5.528,-3.109,1.194,-5.082,-3.64,1.15279174401
9ed_38b_8ea,1.286,-6.016,-3.345,1.244,-5.663,-3.457,1.131,-5.201,-3.933,1.15477364289
13ed_38b_4ea,1.279,-6.07,-3.302,1.222,-5.696,-3.43,1.107,-5.269,-3.948,1.1548929337799998
5ed_38b_4ea,1.278,-5.978,-3.213,1.228,-5.63,-3.348,1.103,-5.163,-3.85,1.15511508957
9ed_38b_2ea,1.279,-5.839,-3.114,1.222,-5.46,-3.226,1.106,-5.015,-3.728,1.1552518836899996
3ed_44b_13ea,1.282,-6.067,-3.28,1.222,-5.705,-3.427,1.116,-5.297,-3.961,1.15530331614
1ed_38b_12ea,1.278,-6.099,-3.324,1.223,-5.732,-3.455,1.102,-5.294,-3.966,1.1554740394799998
16ed_38b_11ea,1.296,-5.864,-2.965,1.258,-5.506,-3.097,1.16,-5.063,-3.635,1.156500534
10ed_38b_5ea,1.29,-5.787,-2.961,1.237,-5.406,-3.083,1.138,-4.963,-3.598,1.15711556892
10ed_28b_13ea,1.317,-5.957,-3.221,1.282,-5.61,-3.362,1.227,-5.172,-3.829,1.1579374108799998
9ed_38b_7ea,1.278,-5.695,-2.931,1.213,-5.296,-3.038,1.094,-4.858,-3.552,1.1583456387599997
2ed_44b_13ea,1.279,-6.07,-3.292,1.217,-5.71,-3.439,1.096,-5.289,-3.969,1.1588413827899997
11ed_38b_1ea,1.277,-5.969,-3.243,1.214,-5.591,-3.366,1.087,-5.154,-3.876,1.1596446442799997
20ed_38b_4ea,1.299,-5.994,-3.169,1.253,-5.635,-3.306,1.16,-5.209,-3.829,1.1601414655499998
2ed_38b_1ea,1.307,-5.963,-3.047,1.268,-5.606,-3.183,1.187,-5.192,-3.743,1.1601589687799998
16ed_38b_7ea,1.295,-5.771,-2.841,1.247,-5.386,-2.961,1.146,-4.949,-3.511,1.1603121888899999
11ed_38b_9ea,1.279,-5.892,-3.151,1.217,-5.502,-3.263,1.091,-5.061,-3.768,1.1606361323399998
9ed_38b_6ea,1.283,-5.804,-3.062,1.223,-5.418,-3.172,1.104,-4.972,-3.677,1.1608243589099998
16ed_38b_2ea,1.305,-5.918,-2.992,1.267,-5.555,-3.123,1.176,-5.119,-3.669,1.16168013009
10ed_38b_9ea,1.292,-5.807,-2.979,1.24,-5.434,-3.104,1.129,-4.984,-3.62,1.1627734058099999
16ed_44b_13ea,1.277,-6.045,-3.27,1.213,-5.682,-3.414,1.078,-5.25,-3.942,1.1628751934699997
9ed_36b_4ea,1.313,-6.035,-3.269,1.282,-5.687,-3.386,1.196,-5.234,-3.879,1.1642102826899998
3ed_38b_5ea,1.305,-5.868,-2.979,1.259,-5.492,-3.108,1.166,-5.066,-3.653,1.16526962919
