Name,SMILES
9ed_31b_11ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[CH][CH][C]([C]3[C]4[C]([C]([C]5[CH][CH][C]([CH][CH]5)[C][C][C]5[CH][C]([C]([C](O)[O])[CH][CH]5)O)S3)[N]S[N]4)[CH][CH]1)[CH]2
9ed_31b_9ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[CH][CH][C]([C]3[C]4[C]([C]([C]5[CH][CH][C]([CH][CH]5)[C][C][C]5[CH][CH][C]([C]([O])[CH][CH]5)O)S3)[N]S[N]4)[CH][CH]1)[CH]2
9ed_31b_10ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[CH][CH][C]([C]3[C]4[C]([C]([C]5[CH][CH][C]([CH][CH]5)[C][C][C]5[CH][CH][C]([C]([O])NO)[CH][CH]5)S3)[N@@]3[N@]4S3)[CH][CH]1)[CH]2
9ed_31b_8ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[CH][CH][C]([C]3[C]4[C]([C]([C]5[CH][CH][C]([CH][CH]5)[CH][C]([C][N])[C](O)[O])S3)[N]S[N]4)[CH][CH]1)[CH]2
9ed_31b_4ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[CH][CH][C]([C]3[C]4[C]([C]([C]5[CH][CH][C]([CH][CH]5)[C]5[CH][CH][C]([CH][C]([C](O)[O])[C][N])S5)S3)[N]S[N]4)[CH][CH]1)[CH]2
9ed_31b_6ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[CH][CH][C]([C][C]3[C]([C]([C]4[CH][CH][C]([CH][CH]4)[C]4[CH][CH][C]([C](O)[O])[CH][CH]4)[S])N([N]3)[S])[CH][CH]1)[CH]2
9ed_31b_2ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[CH][CH][C]([C]3[C]4[C]([C]([C]5[CH][CH][C]([CH][CH]5)[C]5[N][CH][C]([C]([O])O)[CH][CH]5)S3)[N]S[N]4)[CH][CH]1)[CH]2
9ed_31b_7ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[CH][CH][C]([C]3[C]4[C]([C]([C]5[CH][CH][C]([CH][CH]5)[C]5[CH][CH][C]([Si](OC)(OC)OC)[CH][CH]5)S3)[N]S[N]4)[CH][CH]1)[CH]2
9ed_31b_5ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[CH][CH][C]([C]3[C]4[C]([C]([C]5[CH][CH][C]([CH][CH]5)[C]5[CH][CH][C]([C](O)[O])C5)S3)[N]S[N]4)[CH][CH]1)[CH]2
9ed_31b_3ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[CH][CH][C]([C]3[C]4[C]([C]([C]5[CH][CH][C]([CH][CH]5)[C]5[N][CH][C]([C]([O])O)[N][CH]5)S3)[N]S[N]4)[CH][CH]1)[CH]2
9ed_11b_11ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[C]3OCCO[C]3[C](S1)[C][C][C]1[CH][C]([C]([C](O)[O])[CH][CH]1)O)[CH]2
9ed_11b_9ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[C]3OCCO[C]3[C](S1)[C][C][C]1[CH][CH][C]([C]([O])[CH][CH]1)O)[CH]2
9ed_11b_10ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[C]3OCCO[C]3[C](S1)[C][C][C]1[CH][CH][C]([C]([O])NO)[CH][CH]1)[CH]2
9ed_11b_8ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[C]3OCCO[C]3[C](S1)[CH][C]([C][N])[C](O)[O])[CH]2
9ed_11b_4ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[C]3OCCO[C]3[C](S1)[C]1[CH][CH][C]([CH][C]([C](O)[O])[C][N])S1)[CH]2
9ed_11b_6ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[C]3OCCO[C]3[C](S1)[C]1[CH][CH][C]([C](O)[O])[CH][CH]1)[CH]2
9ed_11b_2ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[C]3OCCO[C]3[C](S1)[C]1[N][CH][C]([C]([O])O)[CH][CH]1)[CH]2
9ed_11b_5ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[C]3OCCO[C]3[C](S1)[C]1[CH][CH][C]([C](O)[O])C1)[CH]2
9ed_11b_1ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[C]3OCCO[C]3[C](S1)[C]1[CH][CH][C]([CH][C]([C][N])[C](O)[O])[CH][CH]1)[CH]2
9ed_11b_3ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[C]3OCCO[C]3[C](S1)[C]1[N][CH][C]([C]([O])O)[N][CH]1)[CH]2
9ed_1b_11ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[C]3[C]([C](S1)[C][C][C]1[CH][C]([C]([C](O)[O])[CH][CH]1)O)[N][CH][CH][N]3)[CH]2
9ed_1b_9ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[C]3[C]([C](S1)[C][C][C]1[CH][CH][C]([C]([O])[CH][CH]1)O)[N][CH][CH][N]3)[CH]2
9ed_1b_10ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[C]3[C]([C](S1)[C][C][C]1[CH][CH][C]([C]([O])NO)[CH][CH]1)[N][CH][CH][N]3)[CH]2
9ed_1b_4ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[C]3[C]([C](S1)[C]1[CH][CH][C]([CH][C]([C](O)[O])[C][N])S1)[N][CH][CH][N]3)[CH]2
9ed_1b_6ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[C]3[C]([C](S1)[C]1[CH][CH][C]([C](O)[O])[CH][CH]1)[N][CH][CH][N]3)[CH]2
9ed_1b_2ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[C]3[C]([C](S1)[C]1[N][CH][C]([C]([O])O)[CH][CH]1)[N][CH][CH][N]3)[CH]2
9ed_1b_7ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[C]3[C]([C](S1)[C]1[CH][CH][C]([Si](OC)(OC)OC)[CH][CH]1)[N][CH][CH][N]3)[CH]2
9ed_1b_5ea,CN1C(C)(C)C[C@@H](C)[C]2[C]1[CH][CH][C]([CH][CH][C]1[CH][CH][C](S1)[C]1[C]3[C]([C](S1)[C]1[CH][CH][C]([C](O)[O])C1)[N][CH][CH][N]3)[CH]2
