Name,HOMO Donor,LUMO Donor,HOMO Backbone,LUMO Backbone,HOMO Acceptor,LUMO Acceptor,HOMO Anchor,LUMO Anchor
2ed_36b_5ea,55.39,7.94,42.5,78.71,1.85,5.86,8.74,39.38
16ed_33b_11ea,38.98,41.69,41.36,1.67,17.92,52.44,6.93,20.66
2ed_38b_4ea,22.93,2.84,71.99,91.85,4.95,5.26,5.3,13.01
9ed_19b_13ea,72.04,9.07,10.34,16.81,14.82,73.5,5.2,10.23
9ed_5b_13ea,66.01,10.68,11.37,17.18,20.12,71.62,7.38,8.25
5ed_16b_4ea,49.48,13.06,27.79,69.49,22.01,17.31,8.04,8.1
20ed_33b_13ea,31.08,0.44,55.95,27.07,8.69,72.43,3.06,8.1
16ed_33b_13ea,35.8,0.79,56.02,27.43,7.97,71.76,2.77,8.03
1ed_33b_13ea,53.46,0.44,40.46,27.68,5.82,71.87,2.03,7.95
6ed_25b_13ea,43.04,0.14,50.97,24.56,4.25,75.16,1.45,7.81
17ed_33b_13ea,12.69,0.36,71.77,29.82,15.46,69.8,5.54,7.79
9ed_3b_13ea,70.29,1.43,21.59,25.16,5.4,73.38,1.81,7.77
5ed_3b_13ea,67.2,1.08,24.67,24.99,6.93,73.9,2.44,7.74
3ed_3b_13ea,16.53,0.97,55.23,25.02,27.98,73.95,10.59,7.74
2ed_3b_13ea,23.97,0.95,52.34,25.13,23.54,73.88,8.86,7.72
20ed_3b_13ea,30.2,0.83,46.92,25.11,18.83,73.95,6.99,7.71
9ed_33b_13ea,77.93,0.85,17.29,29.99,1.5,69.13,0.47,7.71
10ed_3b_13ea,37.98,0.98,43.14,25.12,16.13,73.82,5.94,7.68
9ed_4b_13ea,66.97,12.31,11.39,28,19.08,59.5,6.93,7.67
9ed_2b_13ea,66.92,3.45,19.11,21.35,11.4,75.15,3.92,7.66
5ed_2b_13ea,62.5,2.75,21.61,22.51,14.82,74.69,5.45,7.61
16ed_24b_13ea,36.13,0.56,46.26,25.75,16.94,73.28,6.34,7.57
21ed_24b_13ea,2.99,0.43,59.01,25.59,37.3,73.56,14.31,7.55
7ed_3b_13ea,24.22,1.15,53.41,24.59,21.76,74.2,8.04,7.51
10ed_2b_13ea,35.51,2.65,33.97,22.56,28,74.61,10.63,7.5
6ed_3b_13ea,33.66,1.14,49.98,23.99,15.57,74.83,5.47,7.5
21ed_8b_13ea,7.81,3.76,38.75,26.15,53.13,69.89,20.16,7.47
9ed_7b_13ea,61.99,10.93,12.05,15.86,23.65,73.05,8.79,7.45
9ed_13b_13ea,64.88,6.75,15.57,18.41,17.08,74.74,6.14,7.44
19ed_20b_13ea,12.62,6.36,29.89,29.65,56.96,62.96,21.8,7.43
2ed_2b_13ea,21.22,2.94,41.2,22.98,37.45,74.02,14.4,7.42
14ed_33b_13ea,93.65,0.62,0.64,31.87,0.05,67.44,0.02,7.41
6ed_24b_13ea,39.02,0.63,46.58,25.19,12.73,73.76,4.61,7.39
1ed_20b_13ea,37.57,9.1,24.76,26.14,37.32,63.99,13.7,7.37
14ed_1b_13ea,93.65,6.88,0.34,34.35,0.37,58.64,0.13,7.36
17ed_20b_13ea,24.98,8.16,26.53,30.01,48.11,60.86,18.22,7.35
9ed_17b_13ea,59.44,10.35,12.68,13.79,25.68,75.72,9.53,7.34
16ed_2b_13ea,28.94,3.27,38.22,23.12,32.69,73.55,12.5,7.34
6ed_32b_13ea,32.04,2.87,49.88,35.45,17.35,61.62,6.3,7.24
13ed_6b_13ea,43.64,4.2,29.01,22.93,27.18,72.7,10.23,7.23
20ed_8b_13ea,20.99,6.47,31.82,26.52,44.51,66.17,16.75,7.19
7ed_32b_13ea,18.85,2.25,58.24,36.5,22.5,61.2,8.23,7.08
10ed_1b_13ea,31.22,9.47,26.08,29.92,40.67,59.98,14.73,7.06
11ed_20b_13ea,53.03,15.8,17.49,28.17,27.83,55.18,9.99,7.05
