Name,CAM-B3LYP,BHandHLYP,PBE1PBE,LSF
6ed_28b_4ea,1.4858,1.4455,1.3491,1.3189
9ed_28b_4ea,1.4936,1.4182,1.2680,1.3575
6ed_28b_1ea,1.5328,1.4885,1.3815,1.3644
6ed_28b_5ea,1.5478,1.4958,1.3828,1.3821
6ed_28b_8ea,1.5664,1.5434,1.4446,1.3825
7ed_28b_4ea,1.5580,1.5125,1.4144,1.3832
9ed_29b_4ea,1.5276,1.4526,1.3038,1.3859
9ed_28b_5ea,1.5331,1.4568,1.3201,1.3867
9ed_28b_8ea,1.5336,1.4729,1.3152,1.3892
11ed_28b_4ea,1.5360,1.4615,1.3137,1.3926
9ed_16b_4ea,1.5677,1.5260,1.4205,1.3927
9ed_28b_1ea,1.5315,1.4535,1.2938,1.3943
6ed_28b_3ea,1.5714,1.5313,1.4260,1.3953
10ed_28b_4ea,1.5675,1.5104,1.4009,1.3996
7ed_28b_1ea,1.5780,1.5307,1.4327,1.4008
10ed_29b_4ea,1.5695,1.5101,1.3927,1.4049
2ed_28b_4ea,1.5808,1.5326,1.4305,1.4050
6ed_29b_4ea,1.5814,1.5389,1.4246,1.4080
5ed_28b_4ea,1.5566,1.4919,1.3372,1.4091
6ed_28b_9ea,1.5808,1.5352,1.4184,1.4094
11ed_29b_4ea,1.5539,1.4753,1.3241,1.4106
6ed_29b_5ea,1.5759,1.5229,1.3947,1.4119
6ed_28b_10ea,1.5869,1.5400,1.4226,1.4153
6ed_29b_8ea,1.6018,1.5906,1.4727,1.4154
5ed_29b_4ea,1.5675,1.5037,1.3531,1.4166
7ed_29b_4ea,1.5935,1.5468,1.4377,1.4179
9ed_28b_10ea,1.5608,1.4824,1.3260,1.4183
6ed_28b_6ea,1.5904,1.5409,1.4248,1.4187
2ed_28b_8ea,1.6088,1.5777,1.4852,1.4194
9ed_28b_9ea,1.5682,1.4946,1.3474,1.4196
6ed_28b_11ea,1.5936,1.5493,1.4335,1.4196
9ed_28b_11ea,1.5676,1.4948,1.3445,1.4199
7ed_28b_5ea,1.5945,1.5427,1.4352,1.4200
10ed_28b_1ea,1.5903,1.5311,1.4196,1.4205
11ed_28b_8ea,1.5632,1.4971,1.3252,1.4215
6ed_28b_2ea,1.5996,1.5552,1.4455,1.4225
9ed_29b_5ea,1.5720,1.4928,1.3478,1.4240
11ed_28b_5ea,1.5763,1.4994,1.3594,1.4252
6ed_28b_7ea,1.5932,1.5371,1.4161,1.4252
10ed_29b_1ea,1.5931,1.5308,1.4089,1.4278
11ed_16b_4ea,1.5979,1.5467,1.4204,1.4295
9ed_29b_9ea,1.5742,1.4957,1.3362,1.4308
9ed_28b_3ea,1.5862,1.5154,1.3736,1.4320
6ed_29b_3ea,1.6116,1.5712,1.4580,1.4325
6ed_29b_7ea,1.5989,1.5420,1.4145,1.4327
7ed_28b_9ea,1.6042,1.5526,1.4322,1.4328
6ed_29b_11ea,1.6044,1.5603,1.4313,1.4334
6ed_29b_1ea,1.6104,1.5657,1.4513,1.4335
11ed_29b_1ea,1.5801,1.4997,1.3443,1.4352
6ed_29b_2ea,1.6087,1.5613,1.4381,1.4362
9ed_28b_2ea,1.5900,1.5174,1.3744,1.4364
2ed_28b_1ea,1.6152,1.5645,1.4580,1.4370
10ed_28b_5ea,1.6058,1.5411,1.4256,1.4371
7ed_29b_1ea,1.6155,1.5687,1.4581,1.4372
7ed_28b_3ea,1.6212,1.5746,1.4765,1.4375
6ed_29b_6ea,1.6093,1.5591,1.4360,1.4376
2ed_28b_5ea,1.6098,1.5504,1.4373,1.4378
5ed_28b_5ea,1.5911,1.5202,1.3681,1.4399
1ed_29b_4ea,1.6014,1.5342,1.4013,1.4405
7ed_29b_5ea,1.6127,1.5585,1.4364,1.4416
10ed_29b_5ea,1.6063,1.5390,1.4142,1.4418
9ed_28b_6ea,1.5877,1.5079,1.3488,1.4427
11ed_28b_10ea,1.5966,1.5210,1.3746,1.4443
11ed_29b_5ea,1.5965,1.5160,1.3728,1.4449
11ed_28b_9ea,1.5973,1.5220,1.3751,1.4450
9ed_28b_7ea,1.5932,1.5112,1.3604,1.4452
11ed_28b_11ea,1.5972,1.5222,1.3709,1.4463
10ed_28b_8ea,1.6315,1.5908,1.4814,1.4483
7ed_28b_8ea,1.6439,1.6186,1.5226,1.4485
7ed_28b_11ea,1.6299,1.5845,1.4740,1.4491
1ed_28b_4ea,1.6162,1.5525,1.4271,1.4493
11ed_29b_9ea,1.5964,1.5159,1.3580,1.4500
2ed_28b_9ea,1.6205,1.5630,1.4379,1.4506
7ed_28b_10ea,1.6315,1.5829,1.4714,1.4519
7ed_29b_9ea,1.6220,1.5710,1.4383,1.4523
10ed_29b_8ea,1.6345,1.5990,1.4799,1.4524
9ed_29b_7ea,1.6039,1.5217,1.3761,1.4526
9ed_29b_10ea,1.6033,1.5257,1.3702,1.4540
9ed_29b_11ea,1.6031,1.5269,1.3678,1.4546
9ed_29b_3ea,1.6067,1.5313,1.3790,1.4550
11ed_29b_8ea,1.6086,1.5491,1.3844,1.4554
