,Name,"CAM-B3LYP/6-311G(d,p)","bhandhlyp/6-311G(d,p)","PBE1PBE/6-311G(d,p)",Exp
0,DQ5,514.14,525.52,641.14,547.0
1,S-DAHTDTT,450.67,464.1,589.0,441.0
2,NKX-2883,490.42,490.95,558.0,552.0
3,S3,555.98,565.56,750.87,628.0
4,TPA-T-TTAR-A,432.16,440.03,545.98,413.0
5,NL7,512.42,515.14,618.31,589.0
6,NL8,530.95,531.52,644.73,628.0
7,AP3,576.32,584.34,732.28,650.0
8,NL11,525.7,528.16,636.46,570.0
9,C271,441.83,442.63,492.69,508.0
10,IQ4,439.44,446.05,589.24,529.0
11,WS-55,517.44,529.2,629.61,558.0
12,SGT-130,500.99,520.23,720.49,514.5
13,FNE52,496.11,507.26,651.98,526.0
14,IQ21,483.52,490.27,602.79,557.0
15,SGT-136,534.36,555.98,750.93,531.0
16,R6,588.12,605.66,767.27,631.0
17,TPA-TTAR-A,417.96,422.52,513.56,498.0
18,T-DAHTDTT,451.33,463.77,590.3,434.0
19,TH304,483.58,481.74,612.13,568.0
20,NL4,582.17,585.25,686.02,657.0
21,C258,512.01,528.91,656.86,458.0
22,TTAR-9,437.19,447.37,554.9,519.0
23,SGT-121,469.19,479.83,624.57,470.5
24,TTAR-15,452.24,460.74,553.88,498.0
25,NL2,560.79,562.16,661.62,621.0
26,SGT-129,418.95,434.78,635.17,426.0
27,FNE32,608.58,612.88,704.62,596.0
28,BTD-1,497.21,515.77,706.17,515.0
29,Y123,468.53,472.5,563.14,506.0
30,C272,490.7,508.02,622.42,512.0
31,FNE34,544.38,551.21,652.39,625.0
32,IQ6,472.33,481.67,631.83,543.0
33,TP1,543.37,551.36,675.54,581.0
34,R4,556.17,569.16,746.05,613.0
35,AP25,538.41,546.37,613.19,660.0
36,HKK-BTZ4,538.96,554.98,728.92,540.0
37,D-DAHTDTT,478.93,494.36,624.9,439.0
38,TTAR-B8,455.81,463.41,554.64,485.0
39,TPA-T-TTAR-T-A,444.77,457.53,586.12,413.0
40,ZL003,498.66,509.13,610.91,519.0
41,WS-6,507.43,516.2,637.37,547.0
42,NL6,551.35,554.11,897.09,605.0
43,JW1,534.82,538.95,649.38,590.0
44,AP11,387.85,390.67,453.85,377.0
45,AP14,392.3,393.93,462.28,399.0
46,AP16,388.06,392.08,518.24,384.0
47,AP17,378.84,382.87,504.69,379.0
48,C218,465.02,468.72,562.15,550.0
49,CC3,354.38,356.04,403.78,377.0
50,JD21,523.15,526.85,651.67,582.0
51,ND1,559.86,566.84,678.98,646.0
52,ND2,516.3,521.74,579.74,641.0
53,ND3,559.44,565.22,648.0,668.0
54,NL12,529.17,533.5,656.86,565.0
55,NL13,524.57,526.73,615.54,590.0
56,NL3,565.49,567.32,666.72,651.0
57,NL5,553.35,555.48,651.49,672.0
58,QL4,369.25,371.82,408.55,386.0
59,RR9,397.62,402.39,500.74,399.0
60,YZ12,520.82,536.21,643.51,543.0
61,YZ15,530.67,549.83,665.2,549.0
62,D1,530.89,542.89,711.9,570.0
63,D3,539.1,561.53,800.84,562.0
64,XY1,517.24,533.35,677.77,552.0
