Name,"CAM-B3LYP/6-311G(d,p)","bhandhlyp/6-311G(d,p)","PBE1PBE/6-311G(d,p)"
1ed_1b_1ea,541.94,532.61,627.27
1ed_10b_1ea,448.2,459.5,561.27
1ed_10b_2ea,402.89,407.17,463.3
1ed_10b_3ea,414.4,419.71,488.09
1ed_11b_1ea,424.15,428.45,532.51
1ed_11b_2ea,383.21,382.6,448.72
1ed_11b_3ea,395.7,395.84,472.6
1ed_12b_2ea,340.7,339.51,396.62
1ed_12b_3ea,351.2,350.91,420.72
1ed_13b_1ea,413.75,422.77,539.82
1ed_13b_2ea,377.96,380.75,450.34
1ed_13b_3ea,389.06,393.11,478.22
1ed_14b_1ea,399.66,406.62,535.19
1ed_14b_2ea,378.79,380.02,465.46
1ed_14b_3ea,389.65,391.73,489.76
1ed_15b_1ea,442.38,451.65,578.22
1ed_15b_2ea,433.91,440.24,547.28
1ed_15b_3ea,446.76,453.55,568.54
1ed_16b_1ea,662.36,679.91,742.25
1ed_16b_2ea,624.57,638.47,699.52
1ed_16b_3ea,627.38,640.37,699.5
1ed_1b_2ea,503.4,503.51,592.17
1ed_1b_3ea,510.83,511.05,601.29
1ed_2b_1ea,426.82,437.56,561.81
1ed_2b_2ea,401.06,405.95,477.29
1ed_2b_3ea,410.03,416.16,505.05
1ed_3b_1ea,443.22,456.39,585.52
1ed_3b_2ea,418.84,426.39,500.38
1ed_3b_3ea,427.76,436.74,530.14
1ed_4b_1ea,432.31,441.47,575.96
1ed_4b_2ea,430.65,437.43,555.24
1ed_4b_3ea,440.78,448.09,573.02
1ed_5b_1ea,401.15,408.0,536.48
1ed_5b_2ea,379.67,380.99,466.98
1ed_5b_3ea,390.45,392.65,491.29
1ed_6b_1ea,443.02,454.22,558.73
1ed_6b_2ea,399.6,403.93,462.76
1ed_6b_3ea,411.04,416.44,488.24
1ed_7b_1ea,410.58,417.71,531.31
1ed_7b_2ea,367.77,368.88,437.76
1ed_7b_3ea,379.44,381.7,464.63
1ed_8b_1ea,465.59,472.67,591.63
1ed_8b_2ea,441.1,443.03,530.15
1ed_8b_3ea,447.64,449.34,536.72
1ed_9b_1ea,456.47,463.03,556.78
1ed_9b_2ea,430.65,431.39,486.74
1ed_9b_3ea,443.54,444.63,509.65
2ed_10b_1ea,448.46,456.79,549.87
2ed_10b_2ea,395.28,396.86,450.96
2ed_10b_3ea,410.02,412.27,475.75
2ed_11b_1ea,409.72,408.72,497.04
