Name,LUMO,HOMO,Wavelength
7ed_1b_7ea,-5.07,-1.67,617.32 nm
6ed_1b_7ea,-5.06,-1.68,611.82 nm
6ed_26b_7ea,-4.82,-1.74,604.39 nm
3ed_1b_7ea,-5.2,-1.8,607.7 nm
7ed_20b_5ea,-4.99,-1.81,626.71 nm
19ed_12b_9ea,-5.22,-1.81,707.54 nm
16ed_17b_9ea,-5.09,-1.82,711.03 nm
21ed_10b_9ea,-4.92,-1.83,722.06 nm
20ed_17b_9ea,-5.06,-1.84,709.28 nm
7ed_26b_2ea,-4.89,-1.85,602.88 nm
6ed_26b_2ea,-4.86,-1.85,610.27 nm
20ed_7b_9ea,-5.16,-1.86,702.03 nm
3ed_21b_9ea,-5.25,-1.88,695.94 nm
6ed_26b_6ea,-4.9,-1.88,606.93 nm
9ed_20b_7ea,-4.84,-1.89,618.65 nm
6ed_26b_5ea,-4.89,-1.89,610.01 nm
7ed_1b_2ea,-5.23,-1.9,602.88 nm
3ed_20b_5ea,-5.1,-1.91,616.27 nm
21ed_13b_9ea,-5.2,-1.91,704.09 nm
21ed_2b_9ea,-5.18,-1.95,704.09 nm
7ed_1b_10ea,-5.17,-1.95,610.27 nm
16ed_6b_9ea,-5.04,-1.95,712.44 nm
7ed_1b_9ea,-5.18,-1.96,611.82 nm
6ed_1b_10ea,-5.16,-1.97,616.0 nm
6ed_20b_5ea,-5.07,-1.98,638.07 nm
20ed_20b_5ea,-5.06,-1.98,601.12 nm
11ed_20b_7ea,-4.95,-1.99,609.24 nm
6ed_1b_9ea,-5.16,-1.99,620.51 nm
7ed_1b_6ea,-5.27,-1.99,611.82 nm
2ed_26b_3ea,-5.0,-2.0,600.12 nm
17ed_6b_9ea,-5.14,-2.01,711.03 nm
6ed_26b_3ea,-4.9,-2.01,616.79 nm
11ed_10b_9ea,-4.95,-2.02,715.62 nm
6ed_1b_6ea,-5.24,-2.02,623.19 nm
6ed_1b_11ea,-5.22,-2.02,610.53 nm
7ed_1b_5ea,-5.09,-2.03,651.32 nm
3ed_26b_3ea,-5.0,-2.03,602.12 nm
7ed_1b_11ea,-5.25,-2.03,604.39 nm
5ed_20b_5ea,-5.02,-2.06,604.9 nm
10ed_20b_9ea,-5.01,-2.07,607.7 nm
10ed_20b_5ea,-5.05,-2.07,616.27 nm
6ed_8b_9ea,-4.97,-2.08,737.57 nm
20ed_3b_9ea,-5.12,-2.08,703.4 nm
19ed_9b_9ea,-5.16,-2.11,723.88 nm
3ed_1b_9ea,-5.16,-2.12,621.04 nm
3ed_1b_6ea,-5.41,-2.12,602.37 nm
7ed_26b_3ea,-4.98,-2.13,615.48 nm
3ed_1b_5ea,-5.22,-2.14,639.2 nm
9ed_1b_7ea,-4.9,-2.14,654.28 nm
6ed_1b_5ea,-5.14,-2.15,662.08 nm
10ed_26b_10ea,-4.88,-2.15,641.19 nm
16ed_1b_10ea,-5.32,-2.15,602.88 nm
10ed_26b_9ea,-4.89,-2.16,642.05 nm
10ed_1b_6ea,-5.22,-2.16,602.37 nm
5ed_26b_10ea,-4.91,-2.18,639.49 nm
9ed_20b_2ea,-4.92,-2.18,637.23 nm
7ed_26b_4ea,-4.96,-2.19,612.08 nm
16ed_1b_9ea,-5.33,-2.19,601.62 nm
5ed_26b_9ea,-4.92,-2.2,642.05 nm
3ed_20b_1ea,-5.28,-2.2,600.87 nm
2ed_26b_4ea,-5.07,-2.2,602.12 nm
16ed_1b_11ea,-5.34,-2.2,604.9 nm
3ed_26b_4ea,-5.06,-2.21,601.12 nm
7ed_26b_1ea,-4.93,-2.21,605.41 nm
1ed_26b_10ea,-4.94,-2.21,638.92 nm
13ed_1b_7ea,-5.14,-2.21,618.65 nm
16ed_1b_2ea,-5.38,-2.21,609.76 nm
6ed_26b_1ea,-4.92,-2.21,612.86 nm
5ed_1b_10ea,-5.12,-2.22,604.39 nm
7ed_20b_1ea,-5.23,-2.22,609.76 nm
9ed_26b_10ea,-4.95,-2.22,641.19 nm
9ed_26b_9ea,-4.95,-2.22,642.91 nm
7ed_26b_9ea,-4.88,-2.23,655.17 nm
10ed_1b_9ea,-5.1,-2.23,621.04 nm
10ed_26b_11ea,-4.92,-2.23,642.62 nm
10ed_1b_5ea,-5.08,-2.23,647.23 nm
7ed_26b_10ea,-4.89,-2.23,652.8 nm
5ed_26b_11ea,-4.96,-2.24,641.48 nm
1ed_20b_5ea,-5.17,-2.24,608.73 nm
20ed_1b_9ea,-5.11,-2.24,619.71 nm
20ed_1b_5ea,-5.16,-2.24,632.75 nm
6ed_26b_10ea,-4.93,-2.24,651.32 nm
11ed_1b_7ea,-5.02,-2.24,640.62 nm
9ed_20b_10ea,-4.94,-2.25,642.33 nm
2ed_1b_9ea,-5.28,-2.25,613.65 nm
3ed_26b_10ea,-5.01,-2.25,637.51 nm
6ed_26b_9ea,-4.89,-2.25,655.47 nm
6ed_26b_4ea,-4.96,-2.26,614.95 nm
5ed_1b_6ea,-5.17,-2.26,600.37 nm
11ed_26b_10ea,-4.99,-2.26,638.64 nm
14ed_8b_9ea,-5.2,-2.26,720.62 nm
5ed_1b_9ea,-5.12,-2.27,610.27 nm
16ed_1b_5ea,-5.29,-2.27,634.15 nm
2ed_1b_5ea,-5.33,-2.27,631.92 nm
3ed_26b_9ea,-4.96,-2.28,646.07 nm
1ed_20b_9ea,-5.15,-2.28,604.14 nm
2ed_26b_10ea,-4.98,-2.28,644.05 nm
6ed_16b_7ea,-4.97,-2.29,773.56 nm
1ed_26b_11ea,-4.99,-2.29,639.2 nm
6ed_20b_1ea,-5.21,-2.29,624.27 nm
9ed_8b_5ea,-5.02,-2.29,603.88 nm
9ed_26b_11ea,-5.0,-2.3,640.91 nm
7ed_26b_11ea,-4.93,-2.3,653.39 nm
10ed_1b_3ea,-5.27,-2.3,606.42 nm
9ed_20b_6ea,-4.97,-2.3,649.56 nm
5ed_1b_5ea,-5.09,-2.3,639.2 nm
1ed_26b_9ea,-4.9,-2.3,659.36 nm
6ed_26b_11ea,-4.92,-2.31,654.87 nm
9ed_20b_9ea,-4.87,-2.32,668.22 nm
3ed_26b_11ea,-4.99,-2.34,646.94 nm
5ed_1b_11ea,-5.16,-2.34,613.12 nm
11ed_26b_11ea,-5.03,-2.34,642.62 nm
1ed_8b_9ea,-5.17,-2.34,726.43 nm
9ed_8b_9ea,-4.99,-2.35,607.19 nm
11ed_20b_10ea,-5.04,-2.35,629.99 nm
6ed_16b_2ea,-5.07,-2.35,753.36 nm
13ed_20b_10ea,-5.16,-2.36,615.48 nm
2ed_26b_11ea,-5.02,-2.36,646.07 nm
2ed_26b_9ea,-4.93,-2.36,663.91 nm
9ed_20b_11ea,-4.98,-2.37,651.32 nm
13ed_20b_6ea,-5.21,-2.37,610.53 nm
3ed_16b_7ea,-5.07,-2.37,759.71 nm
13ed_20b_5ea,-5.12,-2.38,636.95 nm
9ed_20b_5ea,-4.9,-2.38,687.32 nm
7ed_1b_1ea,-5.34,-2.38,628.89 nm
5ed_1b_3ea,-5.18,-2.38,609.5 nm
13ed_20b_9ea,-5.08,-2.38,632.75 nm
5ed_26b_8ea,-5.07,-2.39,632.2 nm
6ed_1b_1ea,-5.29,-2.39,640.34 nm
9ed_22b_5ea,-5.03,-2.4,612.6 nm
11ed_20b_6ea,-5.08,-2.4,633.03 nm
11ed_20b_5ea,-5.0,-2.41,661.17 nm
6ed_9b_4ea,-5.2,-2.41,621.85 nm
9ed_1b_2ea,-4.98,-2.41,667.91 nm
16ed_20b_1ea,-5.36,-2.41,602.12 nm
9ed_22b_10ea,-5.06,-2.41,603.13 nm
6ed_18b_9ea,-5.23,-2.41,708.59 nm
7ed_16b_7ea,-5.15,-2.41,734.56 nm
11ed_20b_2ea,-5.1,-2.41,626.16 nm
10ed_20b_1ea,-5.22,-2.41,605.15 nm
9ed_20b_3ea,-4.99,-2.41,656.06 nm
16ed_1b_3ea,-5.49,-2.41,609.76 nm
7ed_20b_4ea,-5.19,-2.41,647.23 nm
6ed_18b_5ea,-5.35,-2.42,617.32 nm
1ed_1b_5ea,-5.26,-2.42,622.65 nm
7ed_9b_12ea,-5.15,-2.42,637.79 nm
9ed_4b_9ea,-5.08,-2.43,607.19 nm
10ed_16b_7ea,-4.95,-2.43,758.11 nm
9ed_4b_5ea,-5.09,-2.43,609.76 nm
11ed_20b_11ea,-5.09,-2.43,628.89 nm
20ed_16b_7ea,-4.97,-2.43,750.62 nm
13ed_20b_2ea,-5.22,-2.43,613.12 nm
6ed_10b_12ea,-5.06,-2.44,611.82 nm
7ed_20b_12ea,-5.14,-2.44,654.57 nm
13ed_20b_11ea,-5.19,-2.44,617.85 nm
11ed_20b_9ea,-4.97,-2.44,659.36 nm
6ed_20b_4ea,-5.16,-2.45,671.01 nm
6ed_20b_12ea,-5.15,-2.46,663.91 nm
9ed_9b_1ea,-5.06,-2.46,601.37 nm
6ed_16b_9ea,-5.04,-2.46,763.32 nm
9ed_22b_11ea,-5.09,-2.46,602.62 nm
9ed_1b_10ea,-4.99,-2.47,673.84 nm
6ed_9b_12ea,-5.14,-2.47,650.44 nm
9ed_11b_12ea,-5.05,-2.48,619.71 nm
16ed_16b_7ea,-5.16,-2.48,740.98 nm
6ed_16b_10ea,-5.05,-2.48,767.79 nm
9ed_1b_6ea,-5.04,-2.49,668.53 nm
3ed_1b_1ea,-5.48,-2.49,615.48 nm
20ed_1b_3ea,-5.43,-2.5,600.12 nm
10ed_26b_8ea,-5.06,-2.5,664.83 nm
6ed_16b_3ea,-5.2,-2.51,739.84 nm
2ed_16b_7ea,-5.26,-2.51,722.42 nm
2ed_26b_8ea,-5.12,-2.51,643.19 nm
11ed_22b_5ea,-5.13,-2.51,600.62 nm
3ed_9b_12ea,-5.26,-2.51,624.27 nm
5ed_16b_7ea,-4.93,-2.51,757.71 nm
21ed_6b_12ea,-5.23,-2.51,605.66 nm
9ed_1b_9ea,-4.93,-2.51,697.62 nm
11ed_22b_9ea,-5.12,-2.51,600.87 nm
21ed_16b_10ea,-5.43,-2.51,629.17 nm
5ed_20b_1ea,-5.13,-2.52,631.37 nm
6ed_6b_12ea,-5.09,-2.52,623.73 nm
7ed_31b_7ea,-4.97,-2.52,766.57 nm
7ed_26b_8ea,-5.03,-2.52,662.08 nm
3ed_20b_12ea,-5.26,-2.52,638.64 nm
7ed_16b_2ea,-5.24,-2.52,727.52 nm
11ed_1b_2ea,-5.09,-2.53,656.06 nm
9ed_10b_4ea,-5.01,-2.53,604.64 nm
20ed_9b_12ea,-5.27,-2.53,610.53 nm
3ed_20b_4ea,-5.32,-2.53,639.2 nm
7ed_16b_9ea,-5.09,-2.54,752.97 nm
21ed_16b_6ea,-5.55,-2.54,622.92 nm
9ed_1b_5ea,-4.97,-2.54,706.85 nm
21ed_16b_9ea,-5.27,-2.54,655.17 nm
6ed_32b_7ea,-5.02,-2.54,724.6 nm
3ed_26b_8ea,-5.12,-2.54,649.86 nm
10ed_6b_12ea,-5.15,-2.54,611.82 nm
21ed_32b_7ea,-5.32,-2.55,671.01 nm
7ed_32b_7ea,-5.13,-2.55,711.73 nm
6ed_31b_7ea,-4.9,-2.55,776.89 nm
3ed_16b_2ea,-5.29,-2.55,715.26 nm
16ed_9b_4ea,-5.34,-2.55,616.0 nm
11ed_11b_12ea,-5.14,-2.55,604.39 nm
6ed_16b_11ea,-5.12,-2.55,757.31 nm
21ed_31b_7ea,-5.17,-2.55,719.18 nm
9ed_1b_11ea,-5.04,-2.55,672.27 nm
7ed_1b_4ea,-5.32,-2.55,662.39 nm
6ed_8b_4ea,-5.29,-2.55,609.76 nm
9ed_17b_12ea,-5.14,-2.55,604.9 nm
6ed_16b_6ea,-5.15,-2.56,769.84 nm
13ed_1b_6ea,-5.29,-2.56,626.71 nm
16ed_20b_12ea,-5.31,-2.56,637.51 nm
5ed_10b_12ea,-5.1,-2.56,619.18 nm
13ed_1b_10ea,-5.23,-2.56,636.66 nm
5ed_32b_7ea,-5.14,-2.57,642.91 nm
9ed_15b_9ea,-5.14,-2.57,612.6 nm
7ed_16b_6ea,-5.18,-2.57,758.51 nm
16ed_1b_1ea,-5.44,-2.57,631.1 nm
9ed_10b_12ea,-5.02,-2.57,624.81 nm
2ed_16b_2ea,-5.3,-2.57,725.7 nm
1ed_26b_8ea,-5.11,-2.57,659.66 nm
9ed_21b_4ea,-5.11,-2.57,602.37 nm
14ed_16b_7ea,-5.17,-2.57,696.95 nm
21ed_16b_11ea,-5.48,-2.58,625.35 nm
13ed_11b_12ea,-5.26,-2.58,600.37 nm
9ed_26b_8ea,-5.11,-2.58,659.36 nm
9ed_14b_12ea,-5.12,-2.58,603.38 nm
11ed_1b_10ea,-5.1,-2.58,660.87 nm
16ed_18b_5ea,-5.47,-2.58,603.38 nm
16ed_9b_12ea,-5.29,-2.58,633.03 nm
21ed_16b_5ea,-5.33,-2.58,674.47 nm
6ed_26b_8ea,-4.99,-2.58,674.78 nm
16ed_10b_12ea,-5.19,-2.58,614.95 nm
9ed_21b_8ea,-5.15,-2.58,602.37 nm
9ed_15b_5ea,-5.16,-2.58,613.91 nm
21ed_16b_2ea,-5.63,-2.58,613.12 nm
6ed_1b_4ea,-5.27,-2.59,678.91 nm
13ed_1b_9ea,-5.15,-2.59,660.87 nm
5ed_6b_12ea,-5.13,-2.59,610.79 nm
2ed_1b_1ea,-5.53,-2.59,617.59 nm
3ed_31b_7ea,-5.05,-2.6,755.33 nm
