Name,IPCE,Abs. Max,PCE(%)
AP25 ,900,660,6.8
AP3,800,650,5
BTD-1,775,515,8.2
C258,800,545,8.9
C271,,508,6.7
C272,,512,10.4
D1,625,570,4.6
D3,650,562,5.23
DQ5,800,547,7.1
FNE32,850,596,3.7
FNE34,900,625,5.3
FNE52,775,526,8.2
IQ21,810,557,9
IQ4,800,529,9.2
IQ6,830,543,7.8
JW1,825,590,7.4
NKX-2883,800,552,7.3
NL11,800,570,7.3
NL2,,621,3.9
NL4,,657,2.47
NL6,820,605,7.08
NL7,,589,
NL8,,628,
R4,750,613,11.1
R6,800,631,12.4
S-DAHTDTT,680,441,7.6
S3,825,628,7.2
SGT-121,675,470.5,8.2
SGT-129,615,426,5.2
SGT-130,750,514.5,10.5
SGT-136,800,531,11
T-DAHTDTT,675,434,8.4
TH304,900,568,3
TP1,800,581,4.4
TPA-T-TTAR-A,675,490,6.2
TPA-TTAR-A,650,498,4.8
TTAR-15,700,498,9
TTAR-9,700,519,8.4
WS-55,800,558,9.5
WS-6,800,547,7.8
XY1,700,552,9.1
Y123,675,506,9.19
ZL003 ,825,519,13.6
