Name,"CAM-B3LYP/6-311G(d,p)","PBE1PBE/6-311G(d,p)"
7ed_16b_4ea,1.7890331319089727,1.5576674547866094
3ed_16b_4ea,1.8108222528110582,1.5919436579590052
6ed_16b_1ea,1.841479059146425,1.672484528206294
6ed_16b_7ea,1.8651055202115217,1.6723491901997765
6ed_16b_6ea,1.8744943448435067,1.696812657786787
1ed_16b_1ea,1.8759973888127148,1.675444877796822
6ed_16b_10ea,1.8787544947158803,1.6843662610467933
6ed_16b_9ea,1.8897204335051787,1.6902900137096892
7ed_16b_1ea,1.8963384576265554,1.7045097515497722
3ed_16b_7ea,1.899155722075336,1.734067172984041
7ed_16b_6ea,1.902156428319852,1.726005336791053
6ed_16b_11ea,1.9051666319291831,1.7120878607922958
6ed_16b_2ea,1.9146684898127453,1.7450487686923752
7ed_16b_9ea,1.9159702004935615,1.684434903290672
3ed_16b_1ea,1.9233105131800288,1.7396138524935862
7ed_16b_11ea,1.9426551058396182,1.7243971603796855
1ed_16b_6ea,1.9456423053684617,1.7276646567057643
3ed_16b_6ea,1.9467725159862284,1.7787421879409975
6ed_16b_3ea,1.9502630566638277,1.7829878843606077
1ed_16b_11ea,1.951152999209196,1.7270149777958612
TPA2_16b_3ea,1.952443322401871,1.7413239068353155
1ed_16b_10ea,1.9528738094642626,1.7293754066238434
7ed_16b_10ea,1.954813352761856,1.753984318854572
1ed_16b_7ea,1.9551523983119865,1.73263760400384
3ed_16b_10ea,1.9608101868426577,1.7522245595509605
7ed_16b_7ea,1.9642268276979333,1.7785380867146128
3ed_16b_9ea,1.9655033509659972,1.7421067662162864
3ed_16b_11ea,1.9735115133330596,1.7626108799679148
7ed_16b_2ea,1.9825673579941292,1.8121983983301837
1ed_16b_3ea,1.9867922099234574,1.7809136600132538
1ed_16b_2ea,1.9926028508073732,1.779533522850459
3ed_16b_2ea,2.016812377498541,1.8472399393052397
7ed_16b_3ea,2.0212834434567757,1.8410962777945807
TPA2_16b_2ea,2.029354948296202,1.8116688641353322
3ed_16b_3ea,2.0495136591475127,1.879637341302756
6ed_16b_8ea,2.0608907626270248,1.8458925122922296
6ed_1b_4ea,2.12462819604446,1.88983563577503
7ed_16b_8ea,2.130505401974895,1.8871320905482256
6ed_26b_8ea,2.1379622994490046,1.696812657786787
6ed_20b_4ea,2.1504947088281994,1.9281554253730806
1ed_1b_4ea,2.1521743162618514,1.8586476115677557
7ed_1b_4ea,2.1779164908359148,1.9246240051800898
7ed_26b_8ea,2.1785287058054923,1.8064957591780835
6ed_1b_5ea,2.178949803292029,1.8965704930445058
3ed_16b_8ea,2.181518189436196,1.9545360393074434
5ed_20b_4ea,2.183823381161706,1.8582298127640167
1ed_26b_8ea,2.1867117307823305,1.8828339063704151
1ed_26b_9ea,2.1879078148344564,1.8541453026562618
TPA2_16b_1ea,2.197679588213013,1.6222043120101366
6ed_26b_9ea,2.2011125482514036,1.7968102969924042
7ed_26b_9ea,2.202207104014471,1.8642082417124124
7ed_26b_11ea,2.208168024320948,1.8684780213028573
7ed_26b_10ea,2.210254097995487,1.8702252632762635
3ed_1b_4ea,2.210766378536662,1.9694680104468294
6ed_26b_10ea,2.2146358415770897,1.8101085397311518
7ed_1b_5ea,2.215427192755942,1.9369804177912557
3ed_26b_8ea,2.2199884597132415,1.8790676679154845
7ed_20b_4ea,2.2288870887017205,1.9988985944118196
3ed_26b_11ea,2.229528299004672,1.9131914184768923
6ed_1b_1ea,2.253392371260864,1.9878114043883108
1ed_26b_11ea,2.2566731347044993,1.9472005057355073
3ed_1b_5ea,2.256878499640406,1.984217038800231
3ed_20b_4ea,2.2569606560809383,2.0329148699216804
1ed_26b_10ea,2.258275973078053,1.948118260604591
TPA2_1b_1ea,2.2600870392006347,1.8676337531364704
5ed_1b_1ea,2.260622682960381,1.8702816803279458
6ed_20b_5ea,2.2612410490315447,1.9770671631521997
