Name,"CAM-B3LYP/6-311G(d,p)","HOMO CAM-B3LYP/6-311G(d,p)","LUMO CAM-B3LYP/6-311G(d,p)","bhandhlyp/6-311G(d,p)","HOMO bhandhlyp/6-311G(d,p)","LUMO bhandhlyp/6-311G(d,p)","PBE1PBE/6-311G(d,p)","HOMO PBE1PBE/6-311G(d,p)","LUMO PBE1PBE/6-311G(d,p)"
7ed_16b_4ea,1.789,-6.246,-2.491,1.755,-5.921,-2.68,1.558,-5.381,-3.352
3ed_16b_4ea,1.811,-6.384,-2.611,1.774,-6.048,-2.793,1.592,-5.532,-3.48
5ed_16b_1ea,1.817,-6.167,-2.579,1.775,-5.842,-2.741,1.604,-5.293,-3.36
6ed_16b_1ea,1.841,-6.204,-2.293,1.822,-5.881,-2.475,1.672,-5.327,-3.157
6ed_16b_7ea,1.865,-5.925,-1.887,1.835,-5.573,-2.066,1.672,-4.983,-2.743
6ed_16b_6ea,1.874,-6.144,-2.11,1.853,-5.811,-2.299,1.697,-5.209,-2.963
1ed_16b_1ea,1.876,-6.36,-2.664,1.828,-6.012,-2.822,1.675,-5.495,-3.468
6ed_16b_10ea,1.879,-6.024,-2.052,1.86,-5.706,-2.241,1.684,-5.109,-2.906
6ed_16b_9ea,1.89,-6.007,-2.033,1.869,-5.681,-2.214,1.69,-5.092,-2.894
7ed_16b_1ea,1.896,-6.307,-2.355,1.871,-5.979,-2.539,1.705,-5.443,-3.243
3ed_16b_7ea,1.899,-6.047,-1.958,1.857,-5.665,-2.128,1.734,-5.136,-2.848
5ed_16b_6ea,1.902,-6.085,-2.329,1.851,-5.745,-2.496,1.671,-5.169,-3.119
7ed_16b_6ea,1.902,-6.181,-2.122,1.874,-5.835,-2.306,1.726,-5.262,-2.999
5ed_16b_10ea,1.902,-6.014,-2.293,1.856,-5.682,-2.457,1.666,-5.107,-3.076
5ed_16b_11ea,1.903,-6.083,-2.363,1.86,-5.757,-2.531,1.668,-5.173,-3.143
5ed_16b_7ea,1.904,-5.878,-2.076,1.842,-5.516,-2.235,1.666,-4.96,-2.884
2ed_16b_1ea,1.904,-6.452,-2.466,1.882,-6.114,-2.641,1.75,-5.581,-3.339
6ed_16b_11ea,1.905,-6.105,-2.107,1.889,-5.792,-2.298,1.712,-5.187,-2.959
6ed_16b_2ea,1.915,-6.049,-1.943,1.905,-5.725,-2.13,1.745,-5.122,-2.815
7ed_16b_9ea,1.916,-6.072,-2.094,1.889,-5.738,-2.271,1.684,-5.164,-2.975
3ed_16b_1ea,1.923,-6.439,-2.445,1.894,-6.098,-2.624,1.74,-5.583,-3.344
5ed_16b_3ea,1.934,-6.163,-2.394,1.897,-5.834,-2.555,1.714,-5.251,-3.182
7ed_16b_11ea,1.943,-6.179,-2.161,1.922,-5.859,-2.349,1.724,-5.271,-3.037
1ed_16b_6ea,1.946,-6.288,-2.441,1.889,-5.925,-2.603,1.728,-5.381,-3.251
3ed_16b_6ea,1.947,-6.338,-2.222,1.915,-5.979,-2.401,1.779,-5.429,-3.111
6ed_16b_3ea,1.95,-6.197,-2.069,1.939,-5.87,-2.254,1.783,-5.271,-2.94
1ed_16b_11ea,1.951,-6.285,-2.483,1.902,-5.939,-2.646,1.727,-5.384,-3.28
TPA2_16b_3ea,1.952,-6.339,-2.532,1.918,-6.004,-2.689,1.741,-5.425,-3.322
1ed_16b_10ea,1.953,-6.217,-2.41,1.902,-5.864,-2.569,1.729,-5.318,-3.209
1ed_16b_7ea,1.955,-6.083,-2.182,1.889,-5.697,-2.336,1.733,-5.172,-3.008
7ed_16b_10ea,1.955,-6.212,-2.177,1.932,-5.889,-2.366,1.754,-5.29,-3.039
3ed_16b_10ea,1.961,-6.216,-2.176,1.933,-5.878,-2.355,1.752,-5.321,-3.062
7ed_16b_7ea,1.964,-6.134,-1.991,1.93,-5.774,-2.171,1.779,-5.184,-2.858
2ed_16b_6ea,1.964,-6.431,-2.279,1.938,-6.075,-2.458,1.795,-5.501,-3.148
3ed_16b_9ea,1.966,-6.223,-2.192,1.935,-5.878,-2.365,1.742,-5.322,-3.083
2ed_16b_10ea,1.968,-6.298,-2.226,1.945,-5.96,-2.403,1.786,-5.386,-3.087
2ed_16b_9ea,1.969,-6.291,-2.228,1.945,-5.947,-2.399,1.783,-5.378,-3.096
